City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,15.17,84,75,6.69,ZA,1681499630
84,avarua,-21.2078,-159.775,24.03,83,100,1.03,CK,1681499630
85,torgau,51.5667,13.0,7.28,98,100,4.12,DE,1681499630
86,pochutla,15.7432,-96.4661,32.68,39,0,4.59,MX,1681499631
87,lelese,45.7326,22.6973,3.75,92,83,1.92,RO,1681499631
88,nyurba,63.2842,118.3319,-8.07,90,21,2.87,RU,1681499631
89,tuatapere,-46.1333,167.6833,9.96,87,0,1.83,NZ,1681499631
90,ostrovnoy,68.0531,39.5131,-5.72,81,57,4.91,RU,1681499631
91,hilo,19.7297,-155.09,26.27,69,40,4.63,US,1681499632
92,hasaki,35.7333,140.8333,16.27,77,100,7.31,JP,1681499632
93,puerto parra,6.6515,-74.0573,30.54,69,100,0.41,CO,1681499632
94,nioro,13.35,-15.75,39.84,11,5,3.09,GM,1681499632
95,atuona,-9.8,-139.0333,26.33,73,14,1.37,PF,1681499633
96,castanos,26.7833,-101.4167,33.52,12,100,4.4,MX,1681499634
97,hofn,64.2539,-15.2082,6.63,66,98,1.48,IS,1681499634
98,myitkyina,25.3833,97.4,22.65,33,6,0.65,MM,1681499635
99,nanortalik,60.1432,-45.2371,3.33,69,99,2.71,GL,1681499635
100,orzu,37.5593,68.8184,21.22,35,100,1.68,TJ,1681499636
101,listvyanka,51.8535,104.8693,-7.36,86,5,3.02,RU,1681499636
102,bure,10.7,37.0667,19.0,65,100,3.81,ET,1681499636
103,trincomalee,8.5711,81.2335,26.58,78,49,3.29,LK,1681499636
104,saint george,37.1041,-113.5841,17.75,22,0,4.47,US,1681499445
105,lavrentiya,65.5833,-171.0,-17.93,84,14,4.31,RU,1681499637
106,constitucion,-35.3333,-72.4167,16.67,76,100,3.89,CL,1681499637
107,mandal,25.45,74.5667,28.84,20,0,3.82,IN,1681499638
108,urgut,39.4022,67.2431,16.79,50,100,1.0,UZ,1681499638
109,rehoboth,-23.3167,17.0833,18.12,21,0,3.31,NA,1681499638
110,vaini,-21.2,-175.2,26.09,83,75,5.66,TO,1681499639
111,gorom-gorom,14.4439,-0.2361,35.13,11,81,2.65,BF,1681499639
112,srednekolymsk,67.45,153.6833,-21.56,97,66,0.9,RU,1681499498
113,ilulissat,69.2167,-51.1,0.01,80,20,3.09,GL,1681499640
114,eregli,37.5133,34.0467,12.97,59,100,1.34,TR,1681499640
115,mendi,-6.1761,143.6513,11.84,98,93,1.37,PG,1681499641
116,pacific grove,36.6177,-121.9166,15.77,69,20,4.63,US,1681499641
117,dikson,73.5069,80.5464,-23.79,100,69,4.53,RU,1681499641
118,chengzihe,45.3333,131.0667,1.02,56,1,1.31,CN,1681499642
119,boyabat,41.4689,34.7667,14.19,56,95,0.28,TR,1681499642
120,portland,45.5234,-122.6762,14.6,60,20,2.24,US,1681499511
121,tomakomai,42.6369,141.6033,2.07,93,20,1.03,JP,1681499643
122,tukrah,32.5341,20.5791,16.93,83,100,2.57,LY,1681499643
123,maues,-3.3836,-57.7186,28.29,87,99,1.35,BR,1681499643
124,yumen,40.2833,97.2,10.65,20,99,5.7,CN,1681499644
125,ketchikan,55.3422,-131.6461,6.26,70,100,7.2,US,1681499644
126,vostok,46.4856,135.8833,-5.38,85,11,1.65,RU,1681499644
127,merke,42.8728,73.1786,19.97,29,100,3.99,KZ,1681499646
128,santa rosa,14.3122,121.1114,26.17,95,50,0.04,PH,1681499646
129,ransang,8.9603,117.5828,25.21,83,12,1.09,PH,1681499647
130,kodiak,57.79,-152.4072,1.73,55,75,4.63,US,1681499453
131,isangel,-19.55,169.2667,25.54,89,100,4.86,VU,1681499647
132,anori,-3.7728,-61.6442,28.93,79,100,1.2,BR,1681499648
133,mahajanga,-15.7167,46.3167,26.84,75,0,1.23,MG,1681499648
134,bloemfontein,-29.1211,26.214,9.71,57,3,3.09,ZA,1681499628
135,skelleftea,64.7507,20.9528,-1.8,74,19,2.06,SE,1681499649
136,jalu,29.0331,21.5482,23.86,10,1,3.27,LY,1681499518
137,yerbogachen,61.2767,108.0108,-1.37,86,100,6.38,RU,1681499576
138,faya,18.3851,42.4509,15.29,55,0,3.31,SA,1681499651
139,taltal,-25.4,-70.4833,21.37,68,17,4.49,CL,1681499427
140,maniitsoq,65.4167,-52.9,0.63,80,21,4.54,GL,1681499651
141,takoradi,4.8845,-1.7554,27.83,80,96,5.2,GH,1681499652
142,longyearbyen,78.2186,15.6401,-0.09,86,20,1.03,SJ,1681499652
143,rio gallegos,-51.6226,-69.2181,9.75,37,6,12.53,AR,1681499654
144,bethel,41.3712,-73.414,33.73,28,0,5.14,US,1681499654
145,dingle,10.9995,122.6711,24.95,84,8,0.55,PH,1681499655
146,vila do maio,15.1333,-23.2167,26.44,80,33,5.31,CV,1681499537
147,soyo,-6.1349,12.3689,27.45,85,3,3.93,AO,1681499655
148,souillac,-20.5167,57.5167,26.21,89,40,1.54,MU,1681499656
149,ningxiang,37.34,111.2052,8.3,25,26,1.93,CN,1681499657
150,bathsheba,13.2167,-59.5167,29.34,61,40,8.23,BB,1681499658
151,notodden,59.5594,9.2585,5.56,92,100,2.35,NO,1681499661
152,necochea,-38.5473,-58.7368,15.22,50,3,3.68,AR,1681499476
153,ahipara,-35.1667,173.1667,17.95,79,100,7.27,NZ,1681499662
154,meulaboh,4.1363,96.1285,25.02,89,87,1.19,ID,1681499663
155,agadez,19.75,10.25,27.08,9,98,2.28,NE,1681499664
156,poum,-20.2333,164.0167,24.98,82,100,6.25,NC,1681499664
