City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,new norfolk,-42.7826,147.0587,19.4,75,92,1.34,AU,1680058714
83,acapulco,16.8634,-99.8901,25.67,69,0,1.15,MX,1680058623
84,nhulunbuy,-12.2333,136.7667,30.34,66,75,5.14,AU,1680058714
85,dariba,24.95,74.1333,18.06,21,2,1.13,IN,1680058714
86,maunabo,18.0072,-65.8993,24.94,85,19,4.92,PR,1680058715
87,pevek,69.7008,170.3133,-9.95,76,14,8.67,RU,1680058715
88,prince albert,53.2001,-105.7677,-13.03,66,20,4.12,CA,1680058716
89,nome,64.5011,-165.4064,-7.96,93,100,7.72,US,1680058688
90,omboue,-1.5746,9.2618,24.78,90,100,1.73,GA,1680058716
91,whitehorse,60.7161,-135.0538,2.43,41,75,3.09,CA,1680058716
92,moree,-29.4667,149.85,28.58,44,88,6.04,AU,1680058717
93,luganville,-15.5333,167.1667,28.82,66,100,1.32,VU,1680058717
94,khatanga,71.9667,102.5,-20.44,93,100,5.96,RU,1680058717
95,roma,43.2128,-75.4557,0.96,84,98,1.12,US,1680058718
96,san-pedro,4.7485,-6.6363,25.81,91,1,1.84,CI,1680058718
97,saint augustine,29.8947,-81.3145,20.03,99,100,1.5,US,1680058718
98,albury,-36.0833,146.9167,19.52,100,88,3.58,AU,1680058714
99,qaanaaq,77.484,-69.3632,-25.34,65,67,3.0,GL,1680058719
100,londiani,-0.165,35.5909,10.97,96,22,1.47,KE,1680058719
101,chokurdakh,70.6333,147.9167,-20.31,92,81,6.46,RU,1680058719
102,mmathubudukwane,-24.6,26.4333,14.07,85,6,1.85,BW,1680058720
103,aksu,41.1231,80.2644,14.23,14,0,1.48,CN,1680058720
104,port alfred,-33.5906,26.891,16.21,79,46,1.79,ZA,1680058721
105,salalah,17.0151,54.0924,26.37,79,98,1.05,OM,1680058721
106,cherskiy,68.75,161.3,-7.69,77,100,8.94,RU,1680058449
107,slave lake,55.2834,-114.769,-0.01,51,100,1.54,CA,1680057946
108,pangnirtung,66.1451,-65.7125,-12.64,95,100,1.27,CA,1680058722
109,pisco,-13.7,-76.2167,24.03,83,0,6.17,PE,1680058723
110,butaritari,3.0707,172.7902,27.33,81,75,5.78,KI,1680058427
111,te anau,-45.4167,167.7167,12.03,48,5,1.53,NZ,1680058724
